"Total_Volume","Total_Voids","Total_Mean","Primary_Voids","Primary_Mean","Micro_Voids","Micro_Mean"
"IMG_4840_areas.csv",282.804214478936,8,35.350526809867,1,247.804722456091,7,4.99992743183509
"IMG_4841_areas.csv",731.163597252654,33,22.1564726440198,10,60.9332250238667,23,5.29701508756467
"IMG_4842_areas.csv",296.643346107447,10,29.6643346107447,2,131.079521798038,8,4.31053781392145
"IMG_4843_areas.csv",444.934043320707,2,222.467021660353,2,222.467021660353,0,0
"IMG_4844_areas.csv",417.446177193834,7,59.6351681705477,5,81.3854842097197,2,5.25937807261743
"IMG_4845_areas.csv",189.488525951615,1,189.488525951615,1,189.488525951615,0,0
"IMG_4846_areas.csv",13.6428079534152,3,4.5476026511384,0,0,3,4.5476026511384
"IMG_4847_areas.csv",235.937442348672,7,33.7053489069532,1,184.951076439278,6,8.49772765156579
"IMG_4848_areas.csv",152.313552926787,11,13.8466866297079,1,121.882671709858,10,3.04308812169292
"IMG_4849_areas.csv",117.492613263296,3,39.1642044210987,1,112.434958634274,2,2.52882731451083
"IMG_4850_areas.csv",286.36584225599,3,95.4552807519968,1,281.687921329968,2,2.33896046301128
"IMG_4851_areas.csv",66.8185411714504,3,22.2728470571501,1,50.8006921591237,2,8.00892450616338
"IMG_4852_areas.csv",204.127418562593,5,40.8254837125185,2,95.8025476356367,3,4.17410776377307
"IMG_4853_areas.csv",12.9001454351337,1,12.9001454351337,0,0,1,12.9001454351337
"IMG_4854_areas.csv",200.440608050267,6,33.4067680083779,2,88.2709924455852,4,5.97465578977421
"IMG_4855_areas.csv",490.272667336805,12,40.8560556114004,2,221.237916631181,10,4.7796834074442
"IMG_4856_areas.csv",0,0,0,0,0,0,0
"IMG_4857_areas.csv",4.01947049146478,1,4.01947049146478,0,0,1,4.01947049146478
"IMG_4858_areas.csv",5.53402482071446,1,5.53402482071446,0,0,1,5.53402482071446
"IMG_4859_areas.csv",329.674085375288,2,164.837042687644,2,164.837042687644,0,0
"IMG_4860_areas.csv",392.671071517567,8,49.0838839396959,2,174.569014294105,6,7.25550715489294
"IMG_4861_areas.csv",405.347567403398,6,67.5579279005664,1,382.838365577937,5,4.50184036509228
"IMG_4862_areas.csv",729.926420370152,9,81.1029355966836,3,234.673236706247,6,4.31778504190166
"IMG_4863_areas.csv",0,0,0,0,0,0,0
"IMG_4864_areas.csv",427.131762491497,10,42.7131762491497,3,130.138585940991,7,5.24514352407496
"IMG_4865_areas.csv",239.068669471184,2,119.534334735592,1,236.291733894237,1,2.7769355769472
"IMG_4866_areas.csv",117.818104271322,2,58.9090521356609,2,58.9090521356609,0,0
"IMG_4867_areas.csv",272.225274039976,2,136.112637019988,2,136.112637019988,0,0
"IMG_4868_areas.csv",195.578688217922,3,65.1928960726406,2,95.9841843826282,1,3.61031945266538
"IMG_4869_areas.csv",0,0,0,0,0,0,0
"IMG_4870_areas.csv",393.694863558166,12,32.8079052965138,3,118.472103602665,9,4.25317252779678
"IMG_4871_areas.csv",546.460658530507,8,68.3075823163134,5,105.967956295144,3,5.54029235159611
"IMG_4872_areas.csv",113.023440017461,1,113.023440017461,1,113.023440017461,0,0
"IMG_4873_areas.csv",271.40743536679,4,67.8518588416974,4,67.8518588416974,0,0
"IMG_4874_areas.csv",198.210048332934,3,66.0700161109781,1,192.554598584304,2,2.82772487431496
"IMG_4875_areas.csv",334.299098967471,13,25.7153153051901,2,144.46852785995,11,4.12382211341552
"IMG_4876_areas.csv",705.758082853357,15,47.0505388568905,10,68.0796797548892,5,4.99225706089309
"IMG_4877_areas.csv",273.972029242347,5,54.7944058484693,2,131.528918867826,3,3.63806383556472
"IMG_4878_areas.csv",552.451530693366,8,69.0564413366707,3,177.627308713736,5,3.9139209104316
"IMG_4879_areas.csv",449.657526562265,8,56.2071908202832,6,73.6506196507628,2,3.87690432884445
"IMG_4880_areas.csv",162.414751833651,2,81.2073759168255,1,156.777028235721,1,5.63772359792959
